"Host.Species","Lake","Year","Julian.Day","Julian","Date","Date2","Total","Uninfected.Adult","Uninfected.Juv","Uninfected.Males","Uninfected.Ephip","pasteuria.prev","brood.prev","micG.prev","coke.prev","Host.Density"
"pulicaria","Bishop",2022,2022222,222,"10-Aug-22","8/10/2022",7,7,0,0,0,NA,NA,NA,NA,373.7
"pulicaria","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",18,9,9,0,0,NA,NA,NA,NA,531.7
"pulicaria","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",26,14,12,0,0,0,0,0,0,706.6
"pulicaria","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",1,1,0,0,0,NA,NA,NA,NA,49.4
"retrocurva","Bishop",2022,2022153,153,"2-Jun-22","6/2/2022",258,144,112,0,0,0,0,0,0.00775193798449612,34202.3
"retrocurva","Bishop",2022,2022194,194,"13-Jul-22","7/13/2022",237,124,113,0,0,0,0,0,0,64407.6
"retrocurva","Bishop",2022,2022208,208,"27-Jul-22","7/27/2022",230,133,96,0,0,0,0,0.00434782608695652,0,25002.1
"retrocurva","Bishop",2022,2022222,222,"10-Aug-22","8/10/2022",232,113,101,0,0,0.00862068965517241,0,0.0689655172413793,0,86692.1
"retrocurva","Bishop",2022,2022236,236,"24-Aug-22","8/24/2022",202,54,61,0,0,0.178217821782178,0,0.0297029702970297,0.222772277227723,34310
"retrocurva","Bishop",2022,2022250,250,"7-Sep-22","9/7/2022",337,30,114,0,0,0.507418397626113,0,0,0.127596439169139,9158.4
"retrocurva","Bishop",2022,2022264,264,"21-Sep-22","9/21/2022",298,40,167,0,0,0.258389261744966,0.0167785234899329,0,0.0302013422818792,8098.5
"retrocurva","Bishop",2022,2022278,278,"5-Oct-22","10/5/2022",234,51,98,2,0,0.252136752136752,0.0170940170940171,0,0.0854700854700855,11831.1
